zip_codes,total
21208,82025
21093,78353
21117,65365
21204,59100
21209,43945
21094,33500
21230,33105
21228,33032.49
21210,28850
21136,26905.1
21030,24720
21212,23063.7
21286,22151.65
21153,22e3
20824,2e4
21201,19725
21284,19e3
21244,18560
20814,16500
20854,16375
21217,13750
21218,11855
21022,11725
21202,11503
21401,10025
21090,1e4
21234,1e4
21224,9630
21207,9065
21045,7615.65
21215,7500
20817,6525
21131,6500
21128,6397
21046,6005
21111,6005
21041,6e3
21076,6e3
21087,6e3
21219,5390
21152,5100
21222,5035
21042,4715
20770,4575
21236,4510
21031,4e3
21122,3500
21050,3250
21048,3150
21662,3025
21227,3020
21162,3e3
21842,3e3
21009,2500
21023,2500
21028,2500
21061,2500
21108,2500
21015,2250
21220,2250
20904,2068
21231,2050
21057,2005
20701,2e3
21001,2e3
21020,2e3
21071,2e3
21043,1956.32
21211,1750
21784,1575
20852,1505
21044,1502.72
20878,1270
21157,1250
20815,1160
21029,1010
20690,1e3
20707,1e3
20715,1e3
20827,1e3
21012,1e3
21013,1e3
21014,1e3
21075,1e3
21104,1e3
21216,1e3
21237,1e3
21663,1e3
21811,775
20759,600
20706,510
20794,500
21158,500
21225,500
21285,500
21239,345
20874,300
21155,300
21702,300
21163,265
20850,253
20861,250
21074,250
21123,250
21154,250
20832,123.06
21032,100
21133,100
21113,75
20774,50
21229,50
21403,45
20910,30
20903,25
21221,25
21791,25
20895,20
21795,20
20886,18
20705,10
20772,10
21161,10
21206,10
21620,10
21701,10
20722,5
20901,5
20902,5
20905,5
20906,5
21040,5
21740,5
21804,5
