zip_codes,total
20854,65670
20721,42619
20706,30054
20785,24004.95
20774,23811.18
20814,21853
20852,20370
20720,19133
20705,16471
20772,15955.98
20910,15061
20817,14916.4
20912,13995.24
20744,13603
21401,13083
21409,12500
20716,12260
20740,10998
20770,10060
20782,9508
20815,9223.38
20735,9081
21212,8500
20617,8e3
20743,7788
21076,7763
21244,6500
20904,6210
20745,6206
20895,6150
20704,6e3
20737,5890
20707,5705
20754,5500
20878,5200
21215,5184
21738,5e3
21035,4775
20850,4721
21029,4700
21045,4560
20874,4500
20783,4463
21044,4460
20769,4358
20747,4300
20748,4071
20855,4e3
21030,4e3
20613,3880
21201,3575
20723,3500
20905,3410
21042,3400
21208,3e3
21211,3e3
20866,2846.18
20877,2760
21093,2700
20853,2673
20779,2500
20879,2500
20715,2295
20903,2200
20871,2e3
21117,1960
21223,1785
20901,1778
20861,1520
21146,1513
20646,1500
20755,1500
21122,1500
21231,1500
20778,1400
21403,1355
20816,1261
21210,1260
21218,1175
20708,1158
20773,1105
21237,1070
20710,1060
20607,1055.18
20623,1050
20746,1035
21136,1035
21771,1025
20902,1010
20603,1e3
20685,1e3
20818,1e3
21043,1e3
21152,1e3
21202,1e3
21205,1e3
21221,1e3
21811,1e3
20832,950
21162,750
20781,655
20882,600
20718,550
21239,540
20678,500
20768,500
21074,500
21085,500
21227,500
21230,500
21617,500
20906,405
21209,370
20784,335
21037,305
21157,302
20717,285
20841,275
20792,270
21012,263
20763,250
21061,250
21144,250
21601,250
21666,250
20601,200
21153,200
21797,180
21234,155
21040,150
21014,125
20732,107.18
20775,105
20749,100
20764,100
20791,100
20833,100
20886,100
21286,100
21404,100
21224,84
21206,83
21046,70
21228,70
21769,60
20695,50
20711,50
20736,50
21619,50
21662,50
20724,48
21113,40
20725,35
21114,35
20604,25
20658,25
20602,13
21204,10
20712,5
